Cage ,85,146,92,98,97,95,187,190,99,148,149,103,102,100,88,143,106,104,109,110,107,108,153,154,113,112,117,156,118,114,123,121,159,124,126,81,161,129,165,130,131,132,167,133,169,193,84,83,134,136,174,176,138,177,179,184,183,180,186,140
0,1842.76,1086.02,1096.67,194.529,14573.6,509.6,4436.88,539.731,353.271,357.457,617.301,391.441,5680.81,924.885,3414.77,183.168,6962.97,6079.37,2395.43,2295.41,2652.9,2121.88,11320.4,5244.21,2962.6,1434.35,5785.44,2242.66,1952.54,5386.38,7645.85,1801.02,6097.85,2571.27,1326.64,4369.4,1855.11,240.211,553.92,2793.33,29411.6,14231.9,141.258,6828.66,6039.48,6973.4,1625.39,5726.09,519.99,1294.75,250.59,873.141,1982.37,663.408,3498.53,6662.78,514.151,3683.04,4724.69,14111.5
0.5,3407.49,1928.03,6520.43,7012.34,5464.05,1704.2,9780.48,1619.95,4108.67,2491.44,74.7323,397.598,3181.48,3482.72,2028.53,1172.6,2436.27,95.375,4431.95,4065.55,8039.76,2217.89,10302.8,7517.19,3478.86,5624.6,7505.44,2079.72,3946.56,9254.58,7967.1,944.125,5755.59,1242.61,4754.64,3284.21,313.252,1921.26,3659.04,3918.13,13130.6,19786.7,3443.41,17468.2,18678.1,9326.44,10177.5,6522.53,1613.86,434.732,2544.04,778.073,883.928,828.803,2411.48,5887.91,2418.21,1277,3722.64,12643.4
1,1945.29,8196.55,5152.55,1957.48,6166.98,2138.08,5593.91,2308.01,3986.91,2582.96,1537.23,1369.31,4176.99,4664.02,6836.72,995.302,2619.13,105.755,3323.99,3654.68,12079.6,2859.39,18527.9,6979.57,4545.18,6774.77,9827.08,3095.23,6318.26,7761.2,10373.2,2429.94,5173.81,1538.4,4015.87,7058.35,778.119,969.033,410.44,653.943,12156.7,44081.2,1197.25,8897.7,4494.56,2423.31,4419.68,6069.72,2859.65,1090.14,2022.41,3773.95,2851.39,518.694,2244.1,3425.3,2932.71,222.179,5967.72,9988.3
1.5,0.950225,5617.17,2618.65,1595.49,763.648,3621.15,4789.02,1401,40.9318,910.814,1152.13,1740.84,4459.78,6076.32,7078.61,1556.41,2222.43,3698.64,3048.06,4975.02,7936.76,1860.71,17528.5,2473.7,2983.11,1047.69,1131.02,2690.1,1891.59,3099.36,5138.87,2153.97,6503.03,3618.59,2421.61,7769.95,2230.7,1223.41,1979.59,1508.69,17740.9,52016.5,1824.54,5195.68,5156.25,5803.45,1677.07,2716.92,1337.46,2917.3,1882.96,1588.96,909.222,2100.82,1121.71,5830.68,1241.77,2257.96,8961.46,17385.3
2,56.8091,112.38,5235.98,314.802,273.346,,279.014,1209.44,0.228104,2.60797,612.818,1124.31,6185.94,332.815,6311.23,2442.3,3897.34,5121.17,2928.08,2045.79,12458.2,1721.13,5611.55,291.203,222.854,700.942,1831.63,336.314,3294.36,284.777,9229.2,278.574,2506.34,2018.44,2917.21,1737.64,1244.47,2029.18,1426.34,2421.64,12204.6,44555.4,399.493,578.45,54.0688,4178.15,407.596,2649.33,756.291,671.624,4380.03,468.538,333.654,1335.93,3339.06,4349.02,1548.02,1855.2,9527.18,7900.62
2.5,5251.21,2142.83,3086.4,1279.37,734.887,182.974,156.088,458.167,,356.868,773.002,318.884,818.666,,795.64,1125.41,5936.65,5318.89,2334.54,6198.66,14090.4,5709.98,5008.94,678.983,667.724,509.571,9872.13,354.949,1964.18,4233.42,8479.83,1492.04,176.132,692.513,343.935,290.283,843.929,2042.39,1251.32,2404.33,14187.3,38225.2,267.704,1141.08,7035.39,640.656,628.422,484.794,831.952,258.984,701.708,628.235,726.739,139.085,2267.83,316.489,1057.29,1793.56,1596.43,6057.25
3,2056.27,162.586,402.645,1105.32,793.317,851.246,233.616,284.909,409.549,1013.57,290.348,345.273,195.436,356.262,7038.51,249.426,2153.27,5907.28,3287.06,1039.07,1202.26,585.045,14742.2,5447.82,2763.07,480.871,1945.13,4603.68,286.104,2920.46,14790.9,1705.76,315.583,326.503,258.927,730.205,181.105,179.482,671.225,333.821,7936.94,59698.2,371.972,4536.31,79.6892,598.476,1283.56,1276.15,2559.76,255.792,170.615,649.688,851.12,108.358,897.859,691.428,755.211,609.354,2339.15,519.354
3.5,2797.05,4793.03,274.145,3032.59,2525.93,1526.54,7442.2,1158.11,4665.68,972.781,141.136,545.529,214.601,789.654,1824.25,814.429,695.501,193.446,375.587,4061.78,12288.1,1257.6,12779.5,9309.32,1161.75,1314.89,320.897,994.298,992.661,3664.06,7141.92,1370.49,728.547,1146.51,4126.42,3018.42,313.659,143.831,235.681,476.832,300.982,52325.6,700.432,7046.16,86.5294,2002.33,2654.54,2528.19,759.808,409.597,187.444,815.664,1264.65,809.847,220.684,255.117,241.366,163.982,1268.48,3563.21
4,507.125,195.36,2512.67,2480.88,1329.01,207.488,1603.05,960.78,2545.83,1014.41,588.4,343.6,1438.47,4469.17,3147.99,1009.55,589.045,,480.077,556.99,1440.22,955.954,8406.8,3469.49,935.961,937.744,2061.29,6429.69,4446.21,677.164,,1496.53,3755.14,420.877,1468.94,528.258,199.94,126.444,577.481,1355.27,280.2,49266.7,1296.4,6138.13,13864.3,7664.41,1555.67,3784.86,749.489,154.114,707.985,614.113,479.627,302.081,231.866,1197.16,400.648,527.981,893.529,38.3928
