"","fft_data_freq","fft_data","fft_period"
"1",1.15740740740741e-05,115860649.460312,24
"2",2.31481481481481e-05,24330808.926172,12
"3",3.47222222222222e-05,23491595.9163308,8
"4",4.62962962962963e-05,40755628.7632869,6
"5",5.78703703703704e-05,42585371.9453425,4.8
"6",6.94444444444444e-05,47842165.9948147,4
"7",8.10185185185185e-05,38296865.7314639,3.42857142857143
"8",9.25925925925926e-05,37804505.8734555,3
"9",0.000104166666666667,30252979.7434901,2.66666666666667
"10",0.000115740740740741,14199650.3836532,2.4
"11",0.000127314814814815,14769003.7607933,2.18181818181818
"12",0.000138888888888889,11959865.3890195,2
"13",0.000150462962962963,16646131.4950181,1.84615384615385
"14",0.000162037037037037,11631547.9078105,1.71428571428571
"15",0.000173611111111111,8770787.51664827,1.6
"16",0.000185185185185185,9735415.61503397,1.5
"17",0.000196759259259259,11626627.7000199,1.41176470588235
"18",0.000208333333333333,7210001.72206906,1.33333333333333
"19",0.000219907407407407,5828544.76535498,1.26315789473684
"20",0.000231481481481481,8698836.20063694,1.2
"21",0.000243055555555556,15178803.8040544,1.14285714285714
"22",0.00025462962962963,11753761.3341414,1.09090909090909
"23",0.000266203703703704,6167124.5368402,1.04347826086957
"24",0.000277777777777778,8243472.06619414,1
