"","fft_data_freq","fft_data","fft_period"
"1",1.15740740740741e-05,87099357.1139041,24
"2",2.31481481481481e-05,58863035.2603524,12
"3",3.47222222222222e-05,40639818.4224279,8
"4",4.62962962962963e-05,41171020.8490672,6
"5",5.78703703703704e-05,38150494.4917155,4.8
"6",6.94444444444444e-05,26525763.4445034,4
"7",8.10185185185185e-05,42232680.2149683,3.42857142857143
"8",9.25925925925926e-05,33909027.5074721,3
"9",0.000104166666666667,24730976.7173171,2.66666666666667
"10",0.000115740740740741,13575643.8845341,2.4
"11",0.000127314814814815,9831627.71912735,2.18181818181818
"12",0.000138888888888889,7746115.6105315,2
"13",0.000150462962962963,9902164.26895672,1.84615384615385
"14",0.000162037037037037,9324243.91483861,1.71428571428571
"15",0.000173611111111111,11144177.8053184,1.6
"16",0.000185185185185185,5150525.04144434,1.5
"17",0.000196759259259259,6372773.24328625,1.41176470588235
"18",0.000208333333333333,12283294.1832679,1.33333333333333
"19",0.000219907407407407,10770156.1168725,1.26315789473684
"20",0.000231481481481481,7737898.21231992,1.2
"21",0.000243055555555556,13050728.5504845,1.14285714285714
"22",0.00025462962962963,8380436.36285269,1.09090909090909
"23",0.000266203703703704,8145222.46742007,1.04347826086957
"24",0.000277777777777778,9461202.26301748,1
