Cage,A,phase,offset,peak,R2,pvalues_B
109,1077.987066414644,8.85034593196059,1860.5975892539618,-2.8503459319605895,0.23443132607557615,2.0296822142435697e-6
110,2735.0404530894475,9.939940579080385,3201.215278619167,-3.9399405790803854,0.22364402151340723,8.429390824317585e-7
107,2535.6370492799897,5.287027261598979,5235.022625921228,0.7129727384010209,0.19098101959778901,2.5841861062110548e-5
108,1019.950313520685,9.496570098199086,1845.0357977260296,-3.4965700981990864,0.15870318730904964,2.932807058392051e-7
153,4343.897998718204,22.882353177178253,8898.128187500259,7.117646822821747,0.1722435157795128,3.507712037042019e-6
154,3774.0294520958732,10.405608352441647,5769.0949791666635,-4.4056083524416465,0.31555857505611307,1.1320510266813739e-4
113,2763.6272328993487,10.785084061658765,3274.1141064652847,-4.785084061658765,0.5469683118341685,2.4197808513463787e-6
112,1026.3580275977404,12.19608515796032,2242.215973303161,17.80391484203968,0.08719856769229739,2.1259889507094765e-6
117,1618.9750628918625,6.493445164703331,3816.429252810277,-0.49344516470333133,0.0966608681163611,9.237756872674625e-5
156,2615.991815967318,19.26681137264589,3904.025895833333,10.73318862735411,0.2255055339664822,6.013978153408448e-5
118,1515.3446486927837,12.958246677407079,3631.2027500000004,17.04175332259292,0.16207057844838546,8.824545281219592e-6
114,3298.32147515818,9.524872735657326,4481.665605171636,-3.5248727356573255,0.32416199446118565,9.136074198751991e-5
123,3003.8687041335047,0.2924728042894884,6483.328355464599,5.707527195710512,0.21868052482778566,4.079350718442512e-5
121,468.9124856983069,11.34021759859645,1465.978438196648,-5.34021759859645,0.11498286786767564,1.3302421817185572e-5
159,1797.778020832378,11.215680620740656,3828.477683300784,-5.215680620740656,0.12336917316856577,1.1968702516019028e-4
124,254.6642540964234,10.157417436111416,1262.1629583333333,-4.157417436111416,0.05633009401419875,5.850843100080367e-5
126,1913.1437357449618,14.808644604803419,2854.9041591462938,15.191355395196581,0.19440809934701742,3.5834601329426e-6
81,1397.0836910534467,6.546702633344026,2411.554167043815,-0.5467026333440259,0.27098775393472374,6.442825066550215e-5
161,946.9555365429584,8.778713591613467,1057.477014641779,-2.7787135916134673,0.3262146603206796,4.22706959107375e-6
129,564.5818318189698,11.404688668230952,1202.9654778097402,-5.404688668230953,0.14606549083461473,2.2113275782884203e-5
165,1206.2027881895306,17.25655862101975,2573.2078832782363,12.74344137898025,0.06179284404973129,3.265242811821657e-5
